Hour,WECC_Load_MWh,ERCOT_Load_MWh_2050
1,144717,84664
2,136577,92674.4
3,134337,96704.3
4,132281,97238.2
5,131920,96100.1
6,135740,97753.1
7,142135,94796.7
8,146883,93561.7
9,154878,94230.5
10,164164,95038
11,172619,96398.4
12,181108,99005.2
13,188147,103846.4
14,189321,102406.2
15,188376,101224.4
16,186431,98235.7
17,193920,95410.4
18,204897,91222.8
19,213920,88737.6
20,207486,85165.6
21,193131,84789.4
22,173284,84859.7
23,158677,85519
24,145647,86647.6
25,127801,88956.1
26,124665,96938
27,122955,98066.6
28,124443,95953.8
29,128075,93421.1
30,137731,94570.6
31,151787,89364.6
32,162314,86541.2
33,165081,85857.2
34,165567,85283.4
35,170746,85712.8
36,175335,87534.9
37,177273,91325.4
38,177996,91675
39,184156,90227.2
40,198221,87924.4
41,222585,86153.6
42,235813,83429
43,207168,80791.8
44,175907,78342.7
45,160175,78251.5
46,142972,78502.3
47,133968,79260.4
48,131136,80514.4
49,126610,82944.5
50,123381,90422.9
51,121996,93086.7
52,123745,90899.8
53,130399,89417.8
54,146891,90728.8
55,167673,86917.4
56,178417,85059.2
57,175937,85042.1
58,172570,85330.9
59,175849,86258.1
60,179855,88576.1
61,182426,93632
62,184096,93533.2
63,190842,92482.5
64,201984,90476.1
65,223673,89180.3
66,237227,86828.1
67,209696,84589.9
68,178333,82752.6
69,162290,82760.2
70,142900,83058.5
71,130934,83902.1
72,131463,85482.9
73,128569,88171.4
74,125321,98657.5
75,123758,101408.7
76,125704,102579.1
77,132039,101860.9
78,148464,104954.1
79,169333,101518.9
80,179810,99717.7
81,176610,100217.4
82,172730,100758.9
83,175448,101963.5
84,180021,104368.9
85,183089,109447.6
86,184785,107209.4
87,191485,106069.4
88,203096,103122.5
89,224365,100263
90,236770,96083
91,208661,93575
92,178098,90996.7
93,161561,90170.2
94,141079,89841.5
95,129603,90099.9
96,129051,91133.5
97,126887,93280.5
98,123395,102505
99,121621,104536.1
100,123817,105719.8
101,130186,104691.9
102,146142,107701.5
103,167086,103263.1
104,177147,101188.3
105,174434,101081.9
106,170937,101167.4
107,173972,102362.5
108,178034,104589.3
109,181233,109755.4
110,183049,107659.7
111,189665,105773
112,201082,102774.8
113,220824,99744.3
114,235423,95541.5
115,208630,92729.5
116,178147,90153.1
117,161993,89453.9
118,141359,89210.7
119,131052,89499.5
120,131931,90569.2
121,130774,92792.2
122,127465,101441
123,125988,104292.9
124,128075,104503.8
125,134637,102816.6
126,151335,105233.4
127,172884,100720.9
128,184357,98190.1
129,182285,97952.6
130,177987,98024.8
131,180363,98952
132,184064,101214.9
133,186367,105157.4
134,187767,103297.3
135,193922,101925.5
136,205452,98737.3
137,226772,95391.4
138,239076,90892.2
139,210388,87966.2
140,178866,85235.9
141,163760,84339.1
142,143590,83848.9
143,134256,83805.2
144,139439,84466.4
145,143846,86218.2
146,135797,94804.3
147,134516,98176.8
148,133776,98486.5
149,135830,97432
150,143248,99533.4
151,152896,95729.6
152,158401,93837.2
153,166915,93926.5
154,176907,94105.1
155,185246,95304
156,193343,97821.5
157,200046,101416.3
158,200582,100105.3
159,199784,98908.3
160,197006,95788.5
161,201869,92512.9
162,210099,87890.2
163,219105,85047.8
164,212622,82188.3
165,197799,81646.8
166,178202,81211.7
167,161842,81369.4
168,153216,82026.8
169,142465,83981.9
170,134898,90926.4
171,133781,93563.6
172,132867,93096.2
173,133774,91895.4
174,138959,93252
175,147248,89626.8
176,153360,87595.7
177,162968,87582.4
178,172310,87035.2
179,180193,87715.4
180,188763,89892.8
181,195374,93651
182,196663,93364.1
183,195588,92015.1
184,193176,89450.1
185,198717,87398.1
186,209919,84234.6
187,221182,81097.7
188,214713,78046.3
189,199045,77204.6
190,177570,76784.7
191,159162,77077.3
192,146358,77820.2
193,130147,79798.1
194,127507,85509.5
195,126421,88481.1
196,129151,87179.6
197,136478,86239.1
198,155951,87058
199,179055,84000.9
200,188832,82102.8
201,185050,82005.9
202,179550,82093.3
203,181267,83016.7
204,184685,85234
205,187408,88984.6
206,188442,89875.7
207,195572,89157.5
208,208290,87084.6
209,229631,85044
210,243519,81975.5
211,214845,79009.6
212,183993,75929.7
213,167314,75297
214,145080,75040.5
215,133221,75392
216,133318,76581.4
217,132450,78827.2
218,129379,87878.8
219,128163,91787.1
220,130615,92351.4
221,137893,91105
222,156180,92075.9
223,179165,89678.1
224,189836,88467.8
225,185476,89347.5
226,179197,90293.7
227,180042,91895.4
228,183784,94507.9
229,185963,97471.9
230,187405,97076.7
231,193647,96227.4
232,205617,93069.6
233,228106,89455.8
234,244025,84337.2
235,217337,81149
236,186927,78181.2
237,170965,77461.1
238,147554,77176.1
239,136683,77413.6
240,138062,78481.4
241,137707,80586.6
242,134510,90384.9
243,133616,92991.7
244,136308,93521.8
245,143957,92353.3
246,162703,94070.9
247,186813,91882.1
248,198057,90548.3
249,193964,91561
250,188424,92153.8
251,189074,93449.6
252,191733,96157.1
253,193392,99396.6
254,194077,98781
255,202585,97701.8
256,219363,94646.6
257,242463,91391.9
258,256263,86835.7
259,228185,84101.6
260,195320,86216.3
261,179247,85710.9
262,158717,85614
263,146742,86037.7
264,146215,86999.1
265,142173,89191.7
266,139229,97669.5
267,138098,99909.6
268,140750,98781
269,148239,97709.4
270,168148,100939.4
271,192058,96525.7
272,201897,94374.9
273,197494,94209.6
274,190448,93236.8
275,190846,93962.6
276,193407,96086.8
277,195097,102351.1
278,196361,100156.6
