Hours,ng_ccs_WECC,nuclear_WECC,wind_WECC,solar_WECC,ng_ccs_ERCOT,nuclear_ERCOT,solar_ERCOT,wind_ERCOT
1,1,1,0.404,0,1,1,0,0.305
2,1,1,0.478,0,1,1,0,0.3212
3,1,1,0.515,0,1,1,0,0.2886
4,1,1,0.6,0,1,1,0,0.2784
5,1,1,0.481,0,1,1,0,0.2848
6,1,1,0.609,0,1,1,0,0.2766
7,1,1,0.355,0,1,1,0,0.2568
8,1,1,0.313,0.034666667,1,1,0.0018,0.2112
9,1,1,0.335,0.321666667,1,1,0.0488,0.1592
10,1,1,0.225,0.506,1,1,0.1294,0.111
11,1,1,0.206,0.605666667,1,1,0.1854,0.0988
12,1,1,0.181,0.662666667,1,1,0.222,0.0696
13,1,1,0.128,0.681,1,1,0.2752,0.0526
14,1,1,0.09,0.655666667,1,1,0.2844,0.0446
15,1,1,0.516,0.600333333,1,1,0.2456,0.0446
16,1,1,0.598,0.469,1,1,0.1736,0.05
17,1,1,0.563,0.258333333,1,1,0.0804,0.053
18,1,1,0.67,0,1,1,0.006,0.0616
19,1,1,0.787,0,1,1,0,0.0846
20,1,1,0.824,0,1,1,0,0.1206
21,1,1,0.789,0,1,1,0,0.1828
22,1,1,0.896,0,1,1,0,0.2454
23,1,1,0.961,0,1,1,0,0.2944
24,1,1,0.958,0,1,1,0,0.326
25,1,1,0.969,0,1,1,0,0.316
26,1,1,0.985,0,1,1,0,0.2928
27,1,1,0.986,0,1,1,0,0.2708
28,1,1,0.987,0,1,1,0,0.2666
29,1,1,0.984,0,1,1,0,0.2686
30,1,1,0.993,0,1,1,0,0.2672
31,1,1,0.989,0,1,1,0,0.2668
32,1,1,0.987,0.028,1,1,0.0008,0.269
33,1,1,0.987,0.219666667,1,1,0.0398,0.2272
34,1,1,0.992,0.407333333,1,1,0.0982,0.1392
35,1,1,0.991,0.5,1,1,0.1684,0.0836
36,1,1,0.996,0.557,1,1,0.2136,0.0622
37,1,1,1,0.558,1,1,0.2368,0.059
38,1,1,1,0.548666667,1,1,0.2416,0.0594
39,1,1,0.997,0.494666667,1,1,0.2384,0.0606
40,1,1,0.996,0.352666667,1,1,0.1636,0.0594
41,1,1,0.974,0.141333333,1,1,0.0692,0.0544
42,1,1,0.94,0,1,1,0.0044,0.0518
43,1,1,0.863,0,1,1,0,0.0636
44,1,1,0.791,0,1,1,0,0.0976
45,1,1,0.815,0,1,1,0,0.1482
46,1,1,0.781,0,1,1,0,0.2114
47,1,1,0.682,0,1,1,0,0.3098
48,1,1,0.827,0,1,1,0,0.4552
49,1,1,0.762,0,1,1,0,0.5926
50,1,1,0.788,0,1,1,0,0.6528
51,1,1,0.684,0,1,1,0,0.659
52,1,1,0.574,0,1,1,0,0.635
53,1,1,0.44,0,1,1,0,0.593
54,1,1,0.372,0,1,1,0,0.5456
55,1,1,0.464,0,1,1,0,0.5064
56,1,1,0.226,0.009666667,1,1,0.0146,0.4806
57,1,1,0.159,0.280333333,1,1,0.2442,0.3702
58,1,1,0.332,0.469333333,1,1,0.467,0.1924
59,1,1,0.377,0.595,1,1,0.633,0.1976
60,1,1,0.238,0.656666667,1,1,0.7466,0.2304
61,1,1,0.221,0.688,1,1,0.79,0.1976
62,1,1,0.287,0.657,1,1,0.7638,0.1688
63,1,1,0.298,0.591,1,1,0.6756,0.146
64,1,1,0.335,0.451666667,1,1,0.5226,0.1232
65,1,1,0.288,0.242,1,1,0.2916,0.1198
66,1,1,0.493,0,1,1,0.0258,0.1498
67,1,1,0.818,0,1,1,0,0.1852
68,1,1,0.866,0,1,1,0,0.2104
69,1,1,0.853,0,1,1,0,0.213
70,1,1,0.912,0,1,1,0,0.1974
71,1,1,0.939,0,1,1,0,0.17
72,1,1,0.923,0,1,1,0,0.139
73,1,1,0.907,0,1,1,0,0.1126
74,1,1,0.884,0,1,1,0,0.0978
75,1,1,0.917,0,1,1,0,0.0932
76,1,1,0.912,0,1,1,0,0.086
77,1,1,0.864,0,1,1,0,0.0706
78,1,1,0.85,0,1,1,0,0.0544
79,1,1,0.762,0,1,1,0,0.0444
80,1,1,0.766,0.022,1,1,0.035,0.0404
81,1,1,0.495,0.313666667,1,1,0.3288,0.0274
82,1,1,0.377,0.502,1,1,0.5894,0.011
83,1,1,0.328,0.608666667,1,1,0.7264,0.0292
84,1,1,0.24,0.676333333,1,1,0.7986,0.0328
85,1,1,0.179,0.684333333,1,1,0.8172,0.0408
86,1,1,0.241,0.657333333,1,1,0.7818,0.053
87,1,1,0.558,0.606666667,1,1,0.6892,0.0734
88,1,1,0.772,0.471666667,1,1,0.5316,0.1084
89,1,1,0.781,0.254333333,1,1,0.2916,0.1848
90,1,1,0.736,0,1,1,0.0208,0.3344
91,1,1,0.944,0,1,1,0,0.4304
92,1,1,0.938,0,1,1,0,0.4602
93,1,1,0.936,0,1,1,0,0.4682
94,1,1,0.896,0,1,1,0,0.4708
95,1,1,0.88,0,1,1,0,0.452
96,1,1,0.857,0,1,1,0,0.4336
